Sr,Population,value
757494.317748598,Competition Specialist,6702.780855631745
767158.1176779303,Competition Specialist,6702.450513452489
776945.2043790388,Competition Specialist,6702.116454920941
786857.1506936844,Competition Specialist,6701.777031428506
796895.5495292937,Competition Specialist,6701.4364462138365
807062.014114949,Competition Specialist,6701.109964665788
817358.1782606457,Competition Specialist,6700.783576641681
827785.6966198472,Competition Specialist,6700.449296693358
838346.2449554102,Competition Specialist,6700.112910289904
849041.5204088755,Competition Specialist,6699.781417129871
859873.2417732205,Competition Specialist,6699.456069639918
870843.1497690724,Competition Specialist,6699.121339085496
881953.0073244539,Competition Specialist,6698.788227630611
893204.599858096,Competition Specialist,6698.465435955749
904599.7355663648,Competition Specialist,6698.131089632892
916140.2457138521,Competition Specialist,6697.8004136770405
927827.9849276613,Competition Specialist,6697.470906990578
939664.8314954691,Competition Specialist,6697.141021690808
951652.6876673712,Competition Specialist,6696.811087344077
963793.4799615795,Competition Specialist,6696.478499472821
976089.159474036,Competition Specialist,6696.1480452325795
988541.7021919574,Competition Specialist,6695.823254525231
1001153.1093113902,Competition Specialist,6695.489775604041
1013925.4075588143,Competition Specialist,6695.151340884478
1026860.6495168497,Competition Specialist,6694.818021855349
1039960.9139541204,Competition Specialist,6694.483149660676
1053228.3061593163,Competition Specialist,6694.144371850669
1066664.958279539,Competition Specialist,6693.809054929998
1080273.0296629411,Competition Specialist,6693.468982937957
1094054.7072057435,Competition Specialist,6693.130483157711
1108012.2057036918,Competition Specialist,6692.790773466567
1122147.7682079803,Competition Specialist,6692.445867691069
1136463.6663857242,Competition Specialist,6692.102462176098
1150962.2008850311,Competition Specialist,6691.756535337965
1165645.7017047275,Competition Specialist,6691.404030965789
1180516.5285688057,Competition Specialist,6691.058401907273
1195577.0713056356,Competition Specialist,6690.708470915348
1210829.7502320395,Competition Specialist,6690.353531852011
1226277.0165422417,Competition Specialist,6689.996138314198
1241921.3527017846,Competition Specialist,6689.639816447526
1257765.2728464885,Competition Specialist,6689.278857219901
1273811.3231864786,Competition Specialist,6688.918298064006
1290062.0824153782,Competition Specialist,6688.551430082895
1306520.16212472,Competition Specialist,6688.186413795292
1323188.2072236435,Competition Specialist,6687.815935085327
1340068.8963639508,Competition Specialist,6687.444237371567
1357164.9423705693,Competition Specialist,6687.06878607249
1374479.0926775367,Competition Specialist,6686.689243418788
1392014.1297695197,Competition Specialist,6686.307942221101
1409772.8716289676,Competition Specialist,6685.924110218249
1427758.1721889966,Competition Specialist,6685.536816679371
1445972.9217920196,Competition Specialist,6685.145310495466
