t,R,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,C,Sr
1999.0,0.22247191006713724,798804.1626679089,119583.71646879068,7.255908015318005e-18,-2.1779374205964698e-23,-1.9621194907420047e-24,4.2657042286826557e-26,1.1267218832348041e-26,-5.115205339810137e-28,2.56801621867108e-29,3.203416463700535e-30,2247191.005641862,201655.10387247487
1999.0,0.2224719100954518,798542.3773796852,145762.20354000502,-3.48797962415184e-18,4.42767882692598e-25,2.6007180156206586e-30,8.83725017305921e-30,7.444520537994166e-31,3.98476884893979e-33,6.884687143411978e-33,3.126685124399172e-33,2247191.00762798,206838.4442449619
1999.0,0.2224719102170913,798273.8642928734,172613.58042862313,-1.5497036614278399e-18,-3.5843677983621577e-25,-1.4810037102199369e-27,-4.589493593865876e-28,4.2968756511526195e-29,-5.078229718808434e-29,4.099522307376149e-30,-5.942324668381246e-31,2247191.0239932276,212155.01713624524
1999.0,0.22247191016558468,797998.4488565605,200155.14616489148,-8.376550287298442e-19,1.2061225743562797e-26,-2.6146227826800643e-33,-8.638909795179088e-36,-1.3450283277381876e-37,1.414473743921312e-35,1.4220878288962264e-34,-1.6888205213803068e-33,2247191.018637533,217608.24715339078
1999.0,0.22247191016215553,797715.9528887216,228404.6411383063,-7.920676603021183e-20,2.00284175264371e-26,-3.8654352417004636e-30,-1.1281983100650055e-32,1.3373214122363384e-32,-1.810357720746134e-33,-1.5942512646270745e-32,2.406924232809358e-31,2247191.0155140786,223201.64692952347
1999.0,0.22247190992179525,797426.1966357537,257380.26091241115,1.4288217248549e-19,-1.7398843282059575e-28,-4.6794725842146224e-35,-3.8122112192800204e-41,7.92686907240993e-44,1.2339021920115674e-48,-3.4817111846368774e-47,8.464030951183662e-49,2247190.9846018623,228938.8193864479
1999.0,0.2224719102959704,797128.994463847,287100.66427049664,1.270137812370105e-19,3.0961393337582e-29,-4.9815973954319034e-39,-2.441873991390045e-41,9.773674072784088e-45,5.572545846485239e-46,6.343521946308335e-48,2.127984441957991e-49,2247191.0385698597,234823.46005542763
1999.0,0.22247190985856713,796824.1479110817,317585.0105242951,7.492427786236345e-20,-9.814560780580473e-30,3.75962290816423e-38,-1.427886738563616e-40,-5.354526342120128e-44,-9.015349438660086e-46,-1.9554371463842198e-45,-5.224302398932575e-47,2247190.9713177704,240859.35945761748
1999.0,0.22247191023675342,796511.472307764,348852.9141177258,1.316505093853308e-19,-3.77421635420331e-29,8.912988556281071e-35,1.0334654321852695e-37,-2.9861935698988835e-39,7.486027463902457e-42,1.2729974897191508e-42,-2.4394607807325386e-43,2247191.0325730722,247050.40554568253
1999.0,0.22247191035969258,796190.7516647149,380924.5378503629,7.296186738364914e-20,1.1231720800016484e-30,-1.1788254360110595e-36,-1.3261705257945343e-42,5.670029892097135e-44,-3.252426931637504e-45,2.7218410313504113e-48,-1.5859783577643633e-47,2247191.038145124,253400.58620817668
1999.0,0.22247190928549562,795861.7933241309,413820.5304021642,6.789080823466506e-20,-5.334663690893221e-32,1.460890895795369e-37,-8.706036369878199e-42,1.1317492010734987e-44,3.666382560894126e-47,2.1272274058718524e-48,-1.6555086909706068e-47,2247190.8866292834,259913.9918382933
