Sr,Population,value
98399.52296278227,Competition Specialist,2150.369348251295
99654.8634726365,Competition Specialist,2149.5438403954804
100926.21909870484,Competition Specialist,2148.729335350301
102213.79415523158,Competition Specialist,2147.92567859834
103517.79556301763,Competition Specialist,2147.1331707298455
104838.4328826741,Competition Specialist,2146.3508338319048
106175.9183482999,Competition Specialist,2145.5782883186657
107530.46690158901,Competition Specialist,2144.816526464041
108902.29622637304,Competition Specialist,2144.064647999828
110291.62678360348,Competition Specialist,2143.323193449271
111698.68184678226,Competition Specialist,2142.591342681519
113123.68753784259,Competition Specialist,2141.8691861936068
114566.87286348727,Competition Specialist,2141.156589414761
116028.46975199282,Competition Specialist,2140.4534198028173
117508.71309048076,Competition Specialist,2139.7595468094564
119007.84076266561,Competition Specialist,2139.074841846153
120526.09368708414,Competition Specialist,2138.3991782508
122063.71585581239,Competition Specialist,2137.73243125501
123620.95437367691,Competition Specialist,2137.0744779520705
125198.05949796486,Competition Specialist,2136.4251972655293
126795.2846786434,Competition Specialist,2135.784469918412
128412.88659908975,Competition Specialist,2135.152178403039
130051.12521734099,Competition Specialist,2134.528206951449
131710.26380787234,Competition Specialist,2133.912441506389
133390.56900390587,Competition Specialist,2133.304769692873
135092.31084026027,Competition Specialist,2132.7050807903074
136815.76279674706,Competition Specialist,2132.1132657051407
138561.20184212027,Competition Specialist,2131.5292169440468
140328.9084785873,Competition Specialist,2130.952828587635
142119.16678688623,Competition Specialist,2130.383996264639
143932.26447194064,Competition Specialist,2129.82261712663
145768.492909095,Competition Specialist,2129.2685898231884
147628.1471909391,Competition Specialist,2128.721814477551
149511.52617473333,Competition Specialist,2128.182192662734
151418.9325304352,Competition Specialist,2127.6496273780795
153350.67278934078,Competition Specialist,2127.1240230262597
155307.05739334584,Competition Specialist,2126.6052853907127
157288.40074483582,Competition Specialist,2126.0933216134886
159295.0212572123,Competition Specialist,2125.588040173513
161327.24140606273,Competition Specialist,2125.0893508652507
163385.38778098638,Competition Specialist,2124.597164777768
165469.79113807643,Competition Specialist,2124.1113942741663
167580.78645307687,Competition Specialist,2123.6319529714174
169718.7129752137,Competition Specialist,2123.158755720535
171883.91428171456,Competition Specialist,2122.691718587133
174076.7383330235,Competition Specialist,2122.2307588323292
176297.5375287204,Competition Specialist,2121.775794893982
178546.66876415352,Competition Specialist,2121.326746368287
180824.49348779517,Competition Specialist,2120.8835339916814
183131.3777593269,Competition Specialist,2120.446079623092
185467.69230847014,Competition Specialist,2120.0143062264833
187833.81259456163,Competition Specialist,2119.5881378537333
190230.11886689457,Competition Specialist,2119.167499627795
192656.9962258253,Competition Specialist,2118.7523177261714
195114.83468466165,Competition Specialist,2118.3425193646613
197604.0292323402,Competition Specialist,2117.9380327814265
200124.9798969035,Competition Specialist,2117.5387872212887
202678.09180978674,Competition Specialist,2117.1447129203443
205263.77527092522,Competition Specialist,2116.755741090827
207882.44581469023,Competition Specialist,2116.3718039062287
210534.52427667083,Competition Specialist,2115.9928344866926
213220.4368613011,Competition Specialist,2115.618766884647
215940.61521035677,Competition Specialist,2115.2495360706857
218695.49647232075,Competition Specialist,2114.8850779195136
221485.52337263591,Competition Specialist,2114.525329197247
224311.1442848537,Competition Specialist,2114.1702275461244
227172.81330269028,Competition Specialist,2113.8197114732156
230070.99031300197,Competition Specialist,2113.4737203365257
233006.14106969247,Competition Specialist,2113.1321943324588
235978.73726856004,Competition Specialist,2112.795074483277
238989.25662310526,Competition Specialist,2112.4623026248146
242038.1829412985,Competition Specialist,2112.1338213943577
245126.006203334,Competition Specialist,2111.8095742187506
248253.22264037063,Competition Specialist,2111.489505302696
251420.33481427966,Competition Specialist,2111.1735596172416
254627.85169840933,Competition Specialist,2110.861682888464
257876.28875937982,Competition Specialist,2110.5538215863435
261166.16803992176,Competition Specialist,2110.249922913808
264498.01824277197,Competition Specialist,2109.9499347959736
267872.3748156372,Competition Specialist,2109.654196775495
271289.780037247,Competition Specialist,2109.361485472442
274750.7831044972,Competition Specialist,2109.072634428155
278255.94022071257,Competition Specialist,2108.7880710622862
281805.81468502985,Competition Specialist,2108.5072314046683
285400.97698292375,Competition Specialist,2108.230181746541
289042.00487788714,Competition Specialist,2107.956033123218
292729.4835042813,Competition Specialist,2107.6847909281373
296464.0054613707,Competition Specialist,2107.4183167707183
300246.1709085549,Competition Specialist,2107.1541733227523
304076.5876618214,Competition Specialist,2106.893960646058
307955.871291423,Competition Specialist,2106.637708990928
311884.64522080205,Competition Specialist,2106.3835065989947
315863.5408267819,Competition Specialist,2106.1331786366845
319893.19754103007,Competition Specialist,2105.886059959727
323974.2629528195,Competition Specialist,2105.6421087183808
328107.39291309996,Competition Specialist,2105.4012836265447
