,genus,phyla,num_isolates,bp,NumContigs,mT1,rT1,sT1,rmT1,mT2,rT2,rmT2,mT3,rT3,rmT3,T4,T2G,pr,prm,rmT?,pT2G,T2G_posthoc,rmTotal,bp_std,NumContigs_std,mT1_std,rT1_std,sT1_std,rmT1_std,mT2_std,rT2_std,rmT2_std,mT3_std,rT3_std,rmT3_std,T4_std,T2G_std,pr_std,prm_std,rmT?_std,pT2G_std,T2G_posthoc_std,rmTotal_std,Morphology
545,Chamaesiphon,Cyanobacteria,2,6425645,379.5,1,3.5,1.5,0,7,4.5,2,0,1,0,1,0,0,0,0,2,2,5,475345.4626,532.4514062,1.414213562,0.707106781,0.707106781,0,1.414213562,0.707106781,0,0,1.414213562,0,0,0,0,0,0,1.414213562,1.414213562,1.414213562,Filamentous
548,Aphanothece,Cyanobacteria,4,4410274.5,63,1.75,3,2,0.25,8,4.5,2.5,0.25,0.75,0.25,1,0,0,0,0,1.5,1.5,5.5,912491.5383,52.40229003,2.362907813,0.816496581,2.828427125,0.5,6.976149845,5.066228051,3.109126351,0.5,1.5,0.5,0,0,0,0,0,1,1,5.066228051,Unicellular
606,Crinalium,Cyanobacteria,1,5620407,9,5,5,7,0,12,10,5,0,1,0,2,1,0,0,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Filamentous
701,Rubidibacter,Cyanobacteria,1,4153658,99,1,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
723,Microcystis,Cyanobacteria,32,4945321.344,221.28125,3.40625,4.28125,3.5,0.53125,25.15625,10.0625,6.40625,0,0.5625,0,1.375,0.875,0,0,0.0625,7.5,6.8125,16.0625,392368.016,265.112056,1.456008131,1.275940513,1.665591051,0.567073699,3.132651922,2.895352227,1.643351709,0,0.504016129,0,0.609071213,0.751342884,0,0,0.245934688,1.813924635,1.856766179,2.474873734,Unicellular
726,Cuspidothrix,Cyanobacteria,1,4547138,243,7,7,7,1,11,10,5,0,1,0,1,0,0,0,0,12,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
727,Hydrocoleum,Cyanobacteria,1,8387203,1501,1,3,1,0,13,9,4,0,1,0,2,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
730,Pseudanabaena,Cyanobacteria,6,5458579,266,2,3.666666667,2,0.166666667,7.5,4,2,0,1.166666667,0,1.166666667,0.5,0,0,0,1.5,1.333333333,5.166666667,303811.4125,304.0394711,1.264911064,1.861898673,1.264911064,0.40824829,2.073644135,1.549193338,0.632455532,0,1.169045194,0,0.98319208,0.547722558,0,0,0,1.760681686,1.505545305,1.471960144,Filamentous
778,Phormidium,Cyanobacteria,4,5662994.75,102.25,0.5,1.5,0.5,0,9.5,6,2.75,0.5,0.75,0.5,1,0,0,0,0,1.75,1.25,5.5,1280635.442,52.51269688,0.577350269,1,0.577350269,0,5.802298395,3.559026084,2.217355783,0.577350269,0.5,0.577350269,0.816496581,0,0,0,0,1.5,1.258305739,1.914854216,Filamentous
779,Mastigocoleus,Cyanobacteria,1,12700239,172,2,2,2,0,6,4,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
